ticker,segmento,ventana,dia_rel,car_medio,car_medio_sin_alpha,n_eventos
DDOG,baja,10,-4,0.008988,0.021501,9
DDOG,baja,10,-3,0.007333,0.021634,9
DDOG,baja,10,-2,0.001944,0.018032,9
DDOG,baja,10,-1,-0.014683,0.003192,9
DDOG,baja,10,0,0.012558,0.032221,9
DDOG,baja,10,1,0.009495,0.030946,9
DDOG,baja,10,2,-0.001035,0.022203,9
DDOG,baja,10,3,-0.012615,0.012411,9
DDOG,baja,10,4,-0.003513,0.023301,9
DDOG,baja,10,5,-0.002834,0.025767,9
DDOG,baja,10,6,0.006701,0.03709,9
DDOG,baja,10,7,-0.012795,0.019382,9
DDOG,baja,10,8,-0.013238,0.020726,9
DDOG,baja,10,9,-0.013919,0.021832,9
DDOG,baja,10,10,-0.010184,0.027355,9
DIS,alta,10,-10,0.004277,0.003655,10
DIS,alta,10,-9,0.00446,0.003216,10
DIS,alta,10,-8,-0.008387,-0.010253,10
DIS,alta,10,-7,-0.005941,-0.00843,10
DIS,alta,10,-6,-0.004594,-0.007705,10
DIS,alta,10,-5,-0.003191,-0.006924,10
DIS,alta,10,-4,-0.002369,-0.006724,10
DIS,alta,10,-3,0.012426,0.007449,10
DIS,alta,10,-2,0.012015,0.006416,10
DIS,alta,10,-1,0.008432,0.00221,10
DIS,alta,10,0,0.017559,0.010716,10
DIS,alta,10,1,0.00099,-0.006475,10
DIS,alta,10,2,0.00127,-0.006818,10
DIS,alta,10,3,0.006449,-0.002261,10
DIS,alta,10,4,0.008249,-0.001083,10
DIS,alta,10,5,0.005395,-0.004559,10
DIS,alta,10,6,0.009018,-0.001558,10
DIS,alta,10,7,0.01153,0.000331,10
DIS,alta,10,8,0.014897,0.003077,10
DIS,alta,10,9,0.012183,-0.00026,10
DIS,alta,10,10,0.00946,-0.003605,10
NCLH,alta,10,-10,-0.011559,-0.012027,9
NCLH,alta,10,-9,-0.01263,-0.013566,9
NCLH,alta,10,-8,-0.016689,-0.018093,9
NCLH,alta,10,-7,-0.00338,-0.005252,9
NCLH,alta,10,-6,0.009776,0.007436,9
NCLH,alta,10,-5,0.004576,0.001768,9
NCLH,alta,10,-4,0.010846,0.00757,9
NCLH,alta,10,-3,0.014035,0.010291,9
NCLH,alta,10,-2,0.012482,0.00827,9
NCLH,alta,10,-1,0.011931,0.007251,9
NCLH,alta,10,0,0.021105,0.015956,9
NCLH,alta,10,1,0.015322,0.009706,9
NCLH,alta,10,2,0.012432,0.006348,9
NCLH,alta,10,3,0.022446,0.015894,9
NCLH,alta,10,4,0.033739,0.026718,9
NCLH,alta,10,5,0.035424,0.027936,9
NCLH,alta,10,6,0.014296,0.00634,9
NCLH,alta,10,7,-0.006365,-0.014789,9
NCLH,alta,10,8,-0.002445,-0.011337,9
NCLH,alta,10,9,-0.023778,-0.033138,9
NCLH,alta,10,10,-0.025099,-0.034927,9
TGT,media,10,-10,-0.00353,-0.002976,9
TGT,media,10,-9,-0.004273,-0.003165,9
TGT,media,10,-8,-0.010789,-0.009126,9
TGT,media,10,-7,-0.0151,-0.012883,9
TGT,media,10,-6,-0.014977,-0.012205,9
TGT,media,10,-5,-0.026475,-0.02315,9
TGT,media,10,-4,-0.022877,-0.018997,9
TGT,media,10,-3,-0.017354,-0.01292,9
TGT,media,10,-2,-0.01238,-0.007391,9
TGT,media,10,-1,-0.011488,-0.005945,9
TGT,media,10,0,-0.042915,-0.036818,9
TGT,media,10,1,-0.041866,-0.035214,9
TGT,media,10,2,-0.039381,-0.032175,9
TGT,media,10,3,-0.046163,-0.038403,9
TGT,media,10,4,-0.050879,-0.042565,9
TGT,media,10,5,-0.042319,-0.03345,9
TGT,media,10,6,-0.03782,-0.028396,9
TGT,media,10,7,-0.036391,-0.026413,9
TGT,media,10,8,-0.043694,-0.033162,9
TGT,media,10,9,-0.048739,-0.037652,9
TGT,media,10,10,-0.047457,-0.035816,9
CMG,baja,20,-20,-0.001912,-0.001415,9
